Date;Open;High;Low;Close;Adj Close;Volume;GV;GG;KG
23.03.2021;167660004;169130005;165979996;166889999;165185074;29300;-1;3150009;770005
24.03.2021;166889999;167500000;164020004;164330002;162651230;21500;-1;3479996;2559997
25.03.2021;157259995;157259995;153220001;155710007;154119308;116600;-1;4039994;1549988
26.03.2021;154529999;156350006;153179993;156070007;154475632;40900;1;3170013;1540008
29.03.2021;156070007;156470001;154889999;156300003;154703278;46400;1;1580002;229996
30.03.2021;154580002;156089996;154160004;155320007;153733292;46600;1;1929992;740005
31.03.2021;154940002;157179993;154940002;157009995;155406006;39500;1;2239991;2069993
01.04.2021;159149994;161220001;158139999;161220001;159573013;43700;1;3080002;2070007
05.04.2021;160649994;164440002;160550003;164279999;162601746;49500;1;3889999;3630005
06.04.2021;163080002;164419998;162570007;162889999;161225952;105600;-1;1849991;190003
07.04.2021;163160004;163970001;160580002;161539993;159889725;115200;-1;3389999;1620011
08.04.2021;164429993;166000000;164199997;164729996;163047150;28000;1;1800003;300003
09.04.2021;165410004;167229996;164509995;166830002;165125702;26300;1;2720001;1419998
12.04.2021;169029999;169350006;167580002;168720001;166996384;58200;-1;1770004;309998
13.04.2021;168500000;168979996;166789993;168259995;166541077;51900;-1;2190003;240005
14.04.2021;166139999;166889999;165300003;166000000;164304169;55500;-1;1589996;139999
15.04.2021;164250000;166649994;164149994;166649994;164947525;53500;1;2500000;2399994
16.04.2021;165619995;167029999;165169998;166899994;165194977;50000;1;1860001;1279999
19.04.2021;167160004;167830002;166380005;166949997;165244461;26100;-1;1449997;210007
20.04.2021;163169998;163779999;161500000;162910004;161245743;35300;-1;2279999;259994
21.04.2021;163509995;164360001;162889999;164360001;162680923;22900;1;1470002;850006
22.04.2021;163330002;163330002;161429993;162050003;160394531;38400;-1;1900009;1279999
23.04.2021;160000000;161600006;159369995;161360001;159711578;83300;1;2230011;1360001
26.04.2021;161139999;161740005;159759995;160070007;158434769;34300;-1;1980010;1069992
27.04.2021;160270004;160339996;158169998;159380005;157751801;27700;-1;2169998;889999
28.04.2021;157820007;158210007;155970001;157529999;155920700;42500;-1;2240006;290008
29.04.2021;159539993;159860001;157130005;158559998;156940170;25100;-1;2729996;979995
30.04.2021;157199997;157199997;154169998;154789993;153208679;25500;-1;3029999;2410004
03.05.2021;157190002;157990005;156199997;157899994;156286911;24200;1;1790008;709992
04.05.2021;152949997;154110001;150479996;153440002;151872482;32500;1;3630005;490005
05.05.2021;155809998;157009995;154820007;156869995;155267441;45700;1;2189988;1059997
06.05.2021;156130005;157860001;153399994;157860001;156247330;30900;1;4460007;1729996
07.05.2021;168830002;171779999;167509995;169839996;168104935;100100;1;4270004;1009994
10.05.2021;176460007;176910004;172949997;173059998;171292053;82400;-1;3960007;3400009
11.05.2021;173199997;174589996;171800003;174009995;172232346;46500;1;2789993;809998
12.05.2021;173830002;175389999;171919998;173750000;171975006;43500;-1;3470001;80002
13.05.2021;172669998;173679993;171720001;173639999;173639999;42400;1;1959992;970001
14.05.2021;175449997;176729996;173429993;176250000;176250000;190500;1;3300003;800003
